parameter,parameter_value,log10_value,total_infected_area,total_virus_AUC,total_infected_AUC,peak_time_virus,peak_virus,peak_time_infection,peak_infection,peak_time_IFN,peak_IFN
delta_FV,0.0019306977288832496,-2.7142857142857144,0.30859375,18.85512336767539,5.244420987759741,2.2,8.244640665842834,2.1,2.1541066530861137,7.4,47.46099406760527
delta_FV,0.0026826957952797246,-2.5714285714285716,0.30859375,18.81656093237285,5.2423665524162,2.2,8.24460991708595,2.1,2.154106959376227,7.3,47.414788408146386
delta_FV,0.0037275937203149418,-2.4285714285714284,0.30859375,18.764212704290816,5.23958809781503,2.2,8.244568361774201,2.1,2.1541064269074397,7.3,47.35243839036085
delta_FV,0.005179474679231213,-2.2857142857142856,0.30859375,18.693602364180656,5.235827837228406,2.2,8.244508138860587,2.1,2.154106768105886,7.3,47.26791555171383
delta_FV,0.0071968567300115215,-2.142857142857143,0.30859375,18.59948654880225,5.2308223720781575,2.2,8.244426658704464,2.1,2.1541064582718623,7.2,47.155903298904924
delta_FV,0.010000000000000002,-2.0,0.30859375,18.475759526623275,5.2242467321619275,2.2,8.244309773756202,2.1,2.1541056790699065,7.1,47.00801101155996
k_FV,10.0,1.0,0.30859375,18.795529612740754,5.241515890059148,2.2,8.24434722419761,2.1,2.1541060999142174,7.3,47.38906600565649
k_FV,13.894954943731374,1.1428571428571428,0.30859375,18.809529702866197,5.242203636492973,2.2,8.24444683857716,2.1,2.1541057828874663,7.3,47.40561487372656
k_FV,19.306977288832506,1.2857142857142858,0.30859375,18.824933952763846,5.242960690858649,2.2,8.244515150918668,2.1,2.154106461696837,7.4,47.424337693226455
k_FV,26.826957952797258,1.4285714285714286,0.30859375,18.841403516736758,5.2437919711883,2.2,8.244571561863273,2.1,2.154106190954661,7.4,47.44410765025266
k_FV,37.2759372031494,1.5714285714285714,0.30859375,18.85821275135863,5.244643028763004,2.2,8.24461323856412,2.1,2.154106967709223,7.4,47.464601168011804
k_FV,51.7947467923121,1.7142857142857142,0.30859375,18.874674861306943,5.24548970875473,2.2,8.244644566937383,2.1,2.1541074089967625,7.4,47.48440340891289
